Have_IMDB_data,Have_IMDB_data 2,year,imdb,title,test,clean_test,binary,budget,domgross,intgross,code,budget_2013$,domgross_2013$,intgross_2013$,period code,decade code,averageRating,numVotes_Rating,Have_biopic,No_of_biopic_instances,site,country,year_release,box_office,director,number_of_subjects,subject,type_of_subject,race_known,subject_race,person_of_color,subject_sex,lead_actor_actress,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
Both,Yes,2007,tt0756683,The Man from Earth,notalk,notalk,FAIL,200000,,,2007FAIL,224709,,,2,2,7.9,155603,No,,,,,,,,,,,,,,,movie,The Man from Earth,The Man from Earth,0,2007,\N,87,"Drama,Fantasy,Sci-Fi"
Both,Yes,2007,tt0496436,White Noise 2: The Light,notalk,notalk,FAIL,10000000,,8243567,2007FAIL,11235435,,9262006,2,2,5.7,12043,No,,,,,,,,,,,,,,,movie,White Noise 2: The Light,White Noise 2: The Light,0,2007,\N,99,"Drama,Fantasy,Horror"
Both,Yes,2006,tt0416496,Bandidas,ok,ok,PASS,35000000,,18400000,2006PASS,40452872,,21266653,2,2,5.7,31676,No,,,,,,,,,,,,,,,movie,Bandidas,Bandidas,0,2006,\N,93,"Action,Comedy,Crime"
Both,Yes,2006,tt0490166,London To Brighton,ok,ok,PASS,825000,,610776,2006PASS,953532,,705933,2,2,7,7819,No,,,,,,,,,,,,,,,movie,London to Brighton,London to Brighton,0,2006,\N,85,"Crime,Drama,Thriller"
Both,Yes,1985,tt0088993,Day of the Dead,nowomen,nowomen,FAIL,18000000,,,1985FAIL,38971004,,,,,7.2,56293,No,,,,,,,,,,,,,,,movie,Day of the Dead,Day of the Dead,0,1985,\N,96,"Horror,Thriller"
Both,Yes,1985,tt0091578,My Beautiful Laundrette,men,men,FAIL,400000,,,1985FAIL,866022,,,,,6.9,12468,No,,,,,,,,,,,,,,,movie,My Beautiful Laundrette,My Beautiful Laundrette,0,1985,\N,97,"Comedy,Drama,Romance"
Both,Yes,1972,tt0068156,1776,notalk,notalk,FAIL,4000000,,,1972FAIL,22288557,,,,,7.6,6970,No,,,,,,,,,,,,,,,movie,1776,1776,0,1972,\N,141,"Drama,Family,History"
Both,Yes,1977,tt0076759,Star Wars,notalk,notalk,FAIL,11000000,460998007,797900000,1977FAIL,42274609,1771682790,3066446442,,,8.6,1079806,No,,,,,,,,,,,,,,,movie,Star Wars: Episode IV - A New Hope,Star Wars,0,1977,\N,121,"Action,Adventure,Fantasy"
Both,Yes,1975,tt0073195,Jaws,notalk,notalk,FAIL,12000000,260000000,470700000,1975FAIL,51937204,1125306085,2037236823,,,8,492738,No,,,,,,,,,,,,,,,movie,Jaws,Jaws,0,1975,\N,124,"Adventure,Drama,Thriller"
Both,Yes,1973,tt0070047,The Exorcist,ok,ok,PASS,12000000,204868002,402735134,1973PASS,62926730,1074306128,2111900435,,,8,320940,No,,,,,,,,,,,,,,,movie,The Exorcist,The Exorcist,0,1973,\N,122,Horror
Both,Yes,1982,tt0083866,E.T.: The Extra-Terrestrial,dubious,dubious,FAIL,10500000,435110554,792965326,1982FAIL,25339314,1050038377,1913637848,,,7.9,325173,No,,,,,,,,,,,,,,,movie,E.T. the Extra-Terrestrial,E.T. the Extra-Terrestrial,0,1982,\N,115,"Family,Sci-Fi"
Both,Yes,1997,tt0120338,Titanic,ok,ok,PASS,200000000,658672302,2185672302,1997PASS,290247625,955890356,3171930973,4,3,7.8,915679,No,,,,,,,,,,,,,,,movie,Titanic,Titanic,0,1997,\N,194,"Drama,Romance"
Both,Yes,1973,tt0070735,The Sting,notalk,notalk,FAIL,5500000,159616327,159616327,1973FAIL,28841418,837011132,837011132,,,8.3,210983,No,,,,,,,,,,,,,,,movie,The Sting,The Sting,0,1973,\N,129,"Comedy,Crime,Drama"
Both,Yes,2009,tt0499549,Avatar,men-disagree,men,FAIL,425000000,760507625,2783918982,2009FAIL,461435929,825707158,3022588801,2,2,7.8,1006587,No,,,,,,,,,,,,,,,movie,Avatar,Avatar,0,2009,\N,162,"Action,Adventure,Fantasy"
Both,Yes,1980,tt0080684,Star Wars: Episode V - The Empire Strikes Back,nowomen-disagree,nowomen,FAIL,23000000,290271960,534171960,1980FAIL,65038661,820821721,1510514303,,,8.8,1009543,No,,,,,,,,,,,,,,,movie,Star Wars: Episode V - The Empire Strikes Back,Star Wars: Episode V - The Empire Strikes Back,0,1980,\N,124,"Action,Adventure,Fantasy"
Both,Yes,1972,tt0068646,The Godfather,notalk-disagree,notalk,FAIL,7000000,134966411,268500000,1972FAIL,39004975,752051643,1496119403,,,9.2,1377177,No,,,,,,,,,,,,,,,movie,The Godfather,The Godfather,0,1972,\N,175,"Crime,Drama"
Both,Yes,1983,tt0086190,Star Wars: Episode VI - Return of the Jedi,nowomen-disagree,nowomen,FAIL,32500000,309205079,572700000,1983FAIL,76029041,723340482,1339748672,,,8.3,828753,No,,,,,,,,,,,,,,,movie,Star Wars: Episode VI - Return of the Jedi,Star Wars: Episode VI - Return of the Jedi,0,1983,\N,131,"Action,Adventure,Fantasy"
Both,Yes,1994,tt0110357,The Lion King,notalk-disagree,notalk,FAIL,79300000,422780140,952880140,1994FAIL,124633011,664468621,1497608078,5,3,8.5,791791,No,,,,,,,,,,,,,,,movie,The Lion King,The Lion King,0,1994,\N,88,"Adventure,Animation,Drama"
Both,Yes,1999,tt0120915,Star Wars: Episode I - The Phantom Menace,ok,ok,PASS,115000000,474544677,1007044677,1999PASS,160823133,663632711,1408313741,4,3,6.5,630816,No,,,,,,,,,,,,,,,movie,Star Wars: Episode I - The Phantom Menace,Star Wars: Episode I - The Phantom Menace,0,1999,\N,136,"Action,Adventure,Fantasy"
Both,Yes,1978,tt0077631,Grease,ok,ok,PASS,6000000,181813770,387513770,1978PASS,21424236,649203517,1383697739,,,7.2,199960,No,,,,,,,,,,,,,,,movie,Grease,Grease,0,1978,\N,110,"Musical,Romance"
Both,Yes,1993,tt0107290,Jurassic Park,ok-disagree,ok,PASS,63000000,395708305,1035626872,1993PASS,101584911,638063379,1669905770,5,3,8.1,750506,No,,,,,,,,,,,,,,,movie,Jurassic Park,Jurassic Park,0,1993,\N,127,"Adventure,Sci-Fi,Thriller"
Both,Yes,1977,tt0075860,Close Encounters of the Third Kind,notalk,notalk,FAIL,20000000,166000000,337700000,1977FAIL,76862926,637962288,1297830510,,,7.7,161835,No,,,,,,,,,,,,,,,movie,Close Encounters of the Third Kind,Close Encounters of the Third Kind,0,1977,\N,138,"Drama,Sci-Fi"
Both,Yes,1981,tt0082971,Raiders of the Lost Ark,nowomen-disagree,nowomen,FAIL,20000000,248159971,389925971,1981FAIL,51237724,635757611,998945973,,,8.5,778123,No,,,,,,,,,,,,,,,movie,Raiders of the Lost Ark,Raiders of the Lost Ark,0,1981,\N,115,"Action,Adventure"
Both,Yes,1975,tt0073629,The Rocky Horror Picture Show,dubious-disagree,dubious,FAIL,1200000,139876417,139876417,1975FAIL,5193720,605399166,605399166,,,7.4,118549,No,,,,,,,,,,,,,,,movie,The Rocky Horror Picture Show,The Rocky Horror Picture Show,0,1975,\N,100,"Comedy,Musical"
Both,Yes,1973,tt0069704,American Graffiti,men,men,FAIL,777000,115000000,140000000,1973FAIL,4074506,603047833,734145189,,,7.5,72470,No,,,,,,,,,,,,,,,movie,American Graffiti,American Graffiti,0,1973,\N,110,"Comedy,Drama"
Both,Yes,2008,tt0468569,The Dark Knight,dubious-disagree,dubious,FAIL,185000000,533345358,1002891358,2008FAIL,200217418,577216380,1085385502,2,2,9,1978921,No,,,,,,,,,,,,,,,movie,The Dark Knight,The Dark Knight,0,2008,\N,152,"Action,Crime,Drama"
Both,Yes,1974,tt0071230,Blazing Saddles,notalk,notalk,FAIL,2600000,119500000,119500000,1974FAIL,12281688,564485269,564485269,,,7.8,111934,No,,,,,,,,,,,,,,,movie,Blazing Saddles,Blazing Saddles,0,1974,\N,93,"Comedy,Western"
Both,Yes,2004,tt0298148,Shrek 2,ok-disagree,ok,PASS,70000000,441226247,937008132,2004PASS,86323501,544117065,1155511754,3,2,7.2,364188,No,,,,,,,,,,,,,,,movie,Shrek 2,Shrek 2,0,2004,\N,93,"Adventure,Animation,Comedy"
Both,Yes,1984,tt0087332,Ghostbusters,notalk-disagree,notalk,FAIL,30000000,238632124,291632124,1984FAIL,67243320,534880544,653677077,,,7.8,312956,No,,,,,,,,,,,,,,,movie,Ghostbusters,Ghost Busters,0,1984,\N,105,"Action,Comedy,Fantasy"
Both,Yes,1984,tt0086960,Beverly Hills Cop,nowomen,nowomen,FAIL,15000000,234760478,316300000,1984FAIL,33621660,526202467,708968739,,,7.3,144339,No,,,,,,,,,,,,,,,movie,Beverly Hills Cop,Beverly Hills Cop,0,1984,\N,105,"Action,Comedy,Crime"
Both,Yes,2002,tt0145487,Spider-Man,notalk,notalk,FAIL,139000000,403706375,821565375,2002FAIL,180029911,522872106,1064074398,3,2,7.3,619315,No,,,,,,,,,,,,,,,movie,Spider-Man,Spider-Man,0,2002,\N,121,"Action,Adventure,Sci-Fi"
Both,Yes,1994,tt0109830,Forrest Gump,notalk-disagree,notalk,FAIL,55000000,329694499,679400525,1994FAIL,86441558,518169206,1067789822,5,3,8.8,1530576,No,,,,,,,,,,,,,,,movie,Forrest Gump,Forrest Gump,0,1994,\N,142,"Drama,Romance"
Both,Yes,1990,tt0099785,Home Alone,men-disagree,men,FAIL,15000000,285761243,476684675,1990FAIL,26744631,509505267,849917050,5,3,7.5,381367,No,,,,,,,,,,,,,,,movie,Home Alone,Home Alone,0,1990,\N,103,"Comedy,Family"
Both,Yes,1978,tt0077975,Animal House,men,men,FAIL,3000000,141600000,141600000,1978FAIL,10712118,505611968,505611968,,,7.6,102153,No,,,,,,,,,,,,,,,movie,Animal House,Animal House,0,1978,\N,109,Comedy
Both,Yes,2006,tt0383574,Pirates of the Caribbean: Dead Man&#39;s Chest,men-disagree,men,FAIL,225000000,423315812,1060615812,2006FAIL,260054178,489266869,1225855881,2,2,7.3,595836,No,,,,,,,,,,,,,,,movie,Pirates of the Caribbean: Dead Man's Chest,Pirates of the Caribbean: Dead Man's Chest,0,2006,\N,151,"Action,Adventure,Fantasy"
Both,Yes,2003,tt0266543,Finding Nemo,notalk-disagree,notalk,FAIL,94000000,380529370,906465556,2003FAIL,119012174,481783272,1147664217,3,2,8.1,833093,No,,,,,,,,,,,,,,,movie,Finding Nemo,Finding Nemo,0,2003,\N,100,"Adventure,Animation,Comedy"
Both,Yes,1976,tt0075148,Rocky,notalk,notalk,FAIL,1000000,117235147,225000000,1976FAIL,4091827,479705967,920661128,,,8.1,453706,No,,,,,,,,,,,,,,,movie,Rocky,Rocky,0,1976,\N,120,"Drama,Sport"
Both,Yes,1978,tt0078346,Superman,notalk,notalk,FAIL,55000000,134218018,300200000,1978FAIL,196388829,479253080,1071925937,,,7.3,143391,No,,,,,,,,,,,,,,,movie,Superman,Superman,0,1978,\N,143,"Action,Adventure,Drama"
Both,Yes,2003,tt0167260,The Lord of the Rings: The Return of the King,notalk,notalk,FAIL,94000000,377845905,1141408667,2003FAIL,119012174,478385772,1445122625,3,2,8.9,1430835,No,,,,,,,,,,,,,,,movie,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King,0,2003,\N,201,"Action,Adventure,Drama"
Both,Yes,1989,tt0096895,Batman,notalk,notalk,FAIL,35000000,251188924,411348924,1989FAIL,65785609,472131898,773166847,,,7.6,303794,No,,,,,,,,,,,,,,,movie,Batman,Batman,0,1989,\N,126,"Action,Adventure"
Both,Yes,1975,tt0073486,One Flew Over the Cuckoo&#39;s Nest,men,men,FAIL,4400000,108981275,108981275,1975FAIL,19043641,471681892,471681892,,,8.7,798487,No,,,,,,,,,,,,,,,movie,One Flew Over the Cuckoo's Nest,One Flew Over the Cuckoo's Nest,0,1975,\N,133,Drama
Both,Yes,2004,tt0316654,Spider-Man 2,notalk-disagree,notalk,FAIL,200000000,373524485,783705001,2004FAIL,246638575,460627734,966459425,3,2,7.3,481294,No,,,,,,,,,,,,,,,movie,Spider-Man 2,Spider-Man 2,0,2004,\N,127,"Action,Adventure,Sci-Fi"
Both,Yes,1985,tt0088763,Back to the Future,notalk-disagree,notalk,FAIL,19000000,210609762,383874862,1985FAIL,41136059,455981879,831110482,,,8.5,889945,No,,,,,,,,,,,,,,,movie,Back to the Future,Back to the Future,0,1985,\N,116,"Adventure,Comedy,Sci-Fi"
Both,Yes,1996,tt0116629,Independence Day,ok,ok,PASS,75000000,306169255,817400878,1996PASS,111387369,454711839,1213975115,4,3,7,482280,No,,,,,,,,,,,,,,,movie,Independence Day,Independence Day,0,1996,\N,145,"Action,Adventure,Sci-Fi"
Both,Yes,2012,tt1345836,The Dark Knight Rises,notalk-disagree,notalk,FAIL,275000000,448139099,1079343943,2012FAIL,279025606,454699213,1095143990,1,1,8.4,1337615,No,,,,,,,,,,,,,,,movie,The Dark Knight Rises,The Dark Knight Rises,0,2012,\N,164,"Action,Thriller"
Both,Yes,2005,tt0121766,Star Wars: Episode III - Revenge of the Sith,notalk-disagree,notalk,FAIL,115000000,380270577,848998877,2005FAIL,137198810,453675396,1012883787,2,2,7.6,616610,No,,,,,,,,,,,,,,,movie,Star Wars: Episode III - Revenge of the Sith,Star Wars: Episode III - Revenge of the Sith,0,2005,\N,140,"Action,Adventure,Fantasy"
Both,Yes,2002,tt0167261,The Lord of the Rings: The Two Towers,notalk-disagree,notalk,FAIL,94000000,342548984,927048984,2002FAIL,121746846,443662324,1200694576,3,2,8.7,1293444,No,,,,,,,,,,,,,,,movie,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Two Towers,0,2002,\N,179,"Adventure,Drama,Fantasy"
Both,Yes,2010,tt0435761,Toy Story 3,dubious-disagree,dubious,FAIL,200000000,415004880,1063759456,2010FAIL,213646368,443321427,1136341723,1,1,8.3,653220,No,,,,,,,,,,,,,,,movie,Toy Story 3,Toy Story 3,0,2010,\N,103,"Adventure,Animation,Comedy"
Both,Yes,2009,tt1055369,Transformers: Revenge of the Fallen,ok-disagree,ok,PASS,210000000,402111870,836519699,2009PASS,228003635,436585563,908235868,2,2,6,356367,No,,,,,,,,,,,,,,,movie,Transformers: Revenge of the Fallen,Transformers: Revenge of the Fallen,0,2009,\N,150,"Action,Adventure,Sci-Fi"
Both,Yes,1982,tt0084805,Tootsie,notalk-disagree,notalk,FAIL,15000000,177200000,177200000,1982FAIL,36199020,427631090,427631090,,,7.4,86893,No,,,,,,,,,,,,,,,movie,Tootsie,Tootsie,0,1982,\N,116,"Comedy,Drama,Romance"
Both,Yes,2013,tt1951264,The Hunger Games: Catching Fire,ok,ok,PASS,130000000,424088260,857088260,2013PASS,130000000,424088260,857088260,1,1,7.5,560238,No,,,,,,,,,,,,,,,movie,The Hunger Games: Catching Fire,The Hunger Games: Catching Fire,0,2013,\N,146,"Action,Adventure,Mystery"
Both,Yes,2010,tt1323045,Frozen,notalk,notalk,FAIL,150000000,393050114,1004550114,2010FAIL,160234776,419868647,1073092418,1,1,6.2,60630,No,,,,,,,,,,,,,,,movie,Frozen,Frozen,0,2010,\N,93,"Drama,Thriller"
Both,Yes,2001,tt0241527,Harry Potter and the Sorcerer&#39;s Stone,ok,ok,PASS,125000000,317575550,974755371,2001PASS,164480745,417880504,1282627914,3,2,7.6,540840,No,,,,,,,,,,,,,,,movie,Harry Potter and the Sorcerer's Stone,Harry Potter and the Sorcerer's Stone,0,2001,\N,152,"Adventure,Family,Fantasy"
Both,Yes,2001,tt0120737,The Lord of the Rings: The Fellowship of the Ring,notalk-disagree,notalk,FAIL,109000000,315544750,887217688,2001FAIL,143427209,415208284,1167441808,3,2,8.8,1447600,No,,,,,,,,,,,,,,,movie,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,0,2001,\N,178,"Adventure,Drama,Fantasy"
Both,Yes,2012,tt1392170,The Hunger Games,ok-disagree,ok,PASS,80000000,408010692,684510692,2012PASS,81171085,413983383,694530947,1,1,7.2,777240,No,,,,,,,,,,,,,,,movie,The Hunger Games,The Hunger Games,0,2012,\N,142,"Adventure,Sci-Fi,Thriller"
Both,Yes,1999,tt0167404,The Sixth Sense,dubious-disagree,dubious,FAIL,40000000,293506292,672806292,1999FAIL,55938481,410457404,940894052,4,3,8.1,817172,No,,,,,,,,,,,,,,,movie,The Sixth Sense,The Sixth Sense,0,1999,\N,107,"Drama,Mystery,Thriller"
Both,Yes,2013,tt1300854,Iron Man 3,dubious-disagree,dubious,FAIL,200000000,408992272,1212692272,2013FAIL,200000000,408992272,1212692272,1,1,7.2,653760,No,,,,,,,,,,,,,,,movie,Iron Man 3,Iron Man 3,0,2013,\N,130,"Action,Adventure,Sci-Fi"
Both,Yes,1974,tt0072431,Young Frankenstein,men,men,FAIL,2800000,86300000,86300000,1974FAIL,13226433,407657562,407657562,,,8,129798,No,,,,,,,,,,,,,,,movie,Young Frankenstein,Young Frankenstein,0,1974,\N,106,Comedy
Both,Yes,1971,tt0067741,Shaft,notalk,notalk,FAIL,53012938,70327868,107190108,1971FAIL,305063707,404702718,616827003,,,6.6,13893,No,,,,,,,,,,,,,,,movie,Shaft,Shaft,0,1971,\N,100,"Action,Crime,Thriller"
Both,Yes,1984,tt0087469,Indiana Jones and the Temple of Doom,nowomen,nowomen,FAIL,28000000,179880271,333080271,1984FAIL,62760432,403191555,746580777,,,7.6,387627,No,,,,,,,,,,,,,,,movie,Indiana Jones and the Temple of Doom,Indiana Jones and the Temple of Doom,0,1984,\N,118,"Action,Adventure"
Both,Yes,2002,tt0121765,Star Wars: Episode II - Attack of the Clones,dubious-disagree,dubious,FAIL,115000000,310676740,656695615,2002FAIL,148945610,402382056,850538512,3,2,6.6,552924,No,,,,,,,,,,,,,,,movie,Star Wars: Episode II - Attack of the Clones,Star Wars: Episode II - Attack of the Clones,0,2002,\N,142,"Action,Adventure,Fantasy"
Both,Yes,1984,tt0087538,The Karate Kid,ok,ok,PASS,40000000,176591618,359091618,1984PASS,89657760,395820224,804883755,,,7.2,153114,No,,,,,,,,,,,,,,,movie,The Karate Kid,The Karate Kid,0,1984,\N,126,"Action,Drama,Family"
Both,Yes,2011,tt1201607,Harry Potter and the Deathly Hallows: Part 2,notalk-disagree,notalk,FAIL,125000000,381011219,1328111219,2011FAIL,129461348,394609809,1375512553,1,1,8.1,662535,No,,,,,,,,,,,,,,,movie,Harry Potter and the Deathly Hallows: Part 2,Harry Potter and the Deathly Hallows: Part 2,0,2011,\N,130,"Adventure,Drama,Fantasy"
Both,Yes,2013,tt2294629,Frozen,ok,ok,PASS,150000000,393050114,1004550114,2013PASS,150000000,393050114,1004550114,1,1,7.5,495670,No,,,,,,,,,,,,,,,movie,Frozen,Frozen,0,2013,\N,102,"Adventure,Animation,Comedy"
Both,Yes,1990,tt0099653,Ghost,men-disagree,men,FAIL,22000000,217631306,517600000,1990FAIL,39225459,388031265,922868068,5,3,7,173349,No,,,,,,,,,,,,,,,movie,Ghost,Ghost,0,1990,\N,127,"Drama,Fantasy,Romance"
Both,Yes,2003,tt0325980,Pirates of the Caribbean: The Curse of the Black Pearl,men-disagree,men,FAIL,125000000,305411224,634954103,2003FAIL,158260870,386677167,803907108,3,2,8,937124,No,,,,,,,,,,,,,,,movie,Pirates of the Caribbean: The Curse of the Black Pearl,Pirates of the Caribbean: The Curse of the Black Pearl,0,2003,\N,143,"Action,Adventure,Fantasy"
Both,Yes,1986,tt0092099,Top Gun,men,men,FAIL,15000000,179800601,356800601,1986FAIL,31856471,381854174,757760530,,,6.9,253200,No,,,,,,,,,,,,,,,movie,Top Gun,Top Gun,0,1986,\N,110,"Action,Drama"
Both,Yes,2001,tt0198781,"Monsters, Inc.",notalk-disagree,notalk,FAIL,115000000,289423425,559757719,2001FAIL,151322285,380836644,736554932,3,2,8.1,707906,No,,,,,,,,,,,,,,,movie,"Monsters, Inc.","Monsters, Inc.",0,2001,\N,92,"Adventure,Animation,Comedy"
Both,Yes,1991,tt0101414,Beauty and the Beast,ok-disagree,ok,PASS,20000000,218951625,451421625,1991PASS,34216807,374591278,772310338,5,3,8,375914,No,,,,,,,,,,,,,,,movie,Beauty and the Beast,Beauty and the Beast,0,1991,\N,84,"Animation,Family,Fantasy"
Both,Yes,1986,tt0090555,Crocodile Dundee,dubious,dubious,FAIL,5000000,174803506,328000000,1986FAIL,10618824,371241520,696594829,,,6.5,83410,No,,,,,,,,,,,,,,,movie,Crocodile Dundee,Crocodile Dundee,0,1986,\N,97,"Adventure,Comedy"
Both,Yes,1989,tt0097576,Indiana Jones and the Last Crusade,nowomen-disagree,nowomen,FAIL,48000000,197171806,474171806,1989FAIL,90220264,370601926,891248035,,,8.3,609088,No,,,,,,,,,,,,,,,movie,Indiana Jones and the Last Crusade,Indiana Jones and the Last Crusade,0,1989,\N,127,"Action,Adventure,Fantasy"
Both,Yes,2013,tt1690953,Despicable Me 2,ok,ok,PASS,76000000,368065385,970766005,2013PASS,76000000,368065385,970766005,1,1,7.4,331908,No,,,,,,,,,,,,,,,movie,Despicable Me 2,Despicable Me 2,0,2013,\N,98,"Adventure,Animation,Comedy"
Both,Yes,2011,tt1399103,Transformers: Dark of the Moon,ok-disagree,ok,PASS,195000000,352390543,1123794076,2011PASS,201959703,364967639,1163903170,1,1,6.3,358005,No,,,,,,,,,,,,,,,movie,Transformers: Dark of the Moon,Transformers: Dark of the Moon,0,2011,\N,154,"Action,Adventure,Sci-Fi"
Both,Yes,1997,tt0119654,Men in Black,notalk,notalk,FAIL,90000000,250690539,587790539,1997FAIL,130611431,363811668,853024040,4,3,7.3,459663,No,,,,,,,,,,,,,,,movie,Men in Black,Men in Black,0,1997,\N,98,"Adventure,Comedy,Mystery"
Both,Yes,2007,tt0413267,Shrek the Third,ok-disagree,ok,PASS,160000000,322719944,807330936,2007PASS,179766957,362589890,907071412,2,2,6.1,244130,No,,,,,,,,,,,,,,,movie,Shrek the Third,Shrek the Third,0,2007,\N,93,"Adventure,Animation,Comedy"
Both,Yes,1992,tt0103639,Aladdin,nowomen,nowomen,FAIL,28000000,217350219,504050219,1992FAIL,46489723,360876835,836898388,5,3,8,306900,No,,,,,,,,,,,,,,,movie,Aladdin,Aladdin,0,1992,\N,90,"Adventure,Animation,Comedy"
Both,Yes,1996,tt0117998,Twister,ok,ok,PASS,88000000,241888385,495900000,1996PASS,130694514,359244145,736493287,4,3,6.3,158528,No,,,,,,,,,,,,,,,movie,Twister,Twister,0,1996,\N,113,"Action,Adventure,Drama"
Both,Yes,2007,tt0418279,Transformers,notalk-disagree,notalk,FAIL,151000000,319246193,708272592,2007FAIL,169655066,358686980,795775055,2,2,7.1,558025,No,,,,,,,,,,,,,,,movie,Transformers,Transformers,0,2007,\N,144,"Action,Adventure,Sci-Fi"
Both,Yes,2010,tt1014759,Alice in Wonderland,ok,ok,PASS,200000000,334191110,1024391110,2010PASS,213646368,356993585,1094287202,1,1,6.5,347635,No,,,,,,,,,,,,,,,movie,Alice in Wonderland,Alice in Wonderland,0,2010,\N,108,"Adventure,Family,Fantasy"
Both,Yes,2003,tt0234215,The Matrix Reloaded,ok-disagree,ok,PASS,127000000,281553689,738576929,2003PASS,160793043,356471453,935102616,3,2,7.2,465912,No,,,,,,,,,,,,,,,movie,The Matrix Reloaded,The Matrix Reloaded,0,2003,\N,138,"Action,Sci-Fi"
Both,Yes,1993,tt0107614,Mrs. Doubtfire,ok,ok,PASS,25000000,219195051,441286003,1993PASS,40311473,353443011,711555544,5,3,7,211607,No,,,,,,,,,,,,,,,movie,Mrs. Doubtfire,Mrs. Doubtfire,0,1993,\N,125,"Comedy,Drama,Family"
Both,Yes,2001,tt0126029,Shrek,notalk-disagree,notalk,FAIL,50000000,267655011,491812794,2001FAIL,65792298,352192764,647149877,3,2,7.9,537904,No,,,,,,,,,,,,,,,movie,Shrek,Shrek,0,2001,\N,90,"Adventure,Animation,Comedy"
Both,Yes,1991,tt0103064,Terminator 2: Judgement Day,dubious,dubious,FAIL,100000000,204859496,516816151,1991FAIL,171084037,350481895,884189932,5,3,8.5,871851,No,,,,,,,,,,,,,,,movie,Terminator 2,Terminator 2: Judgment Day,0,1991,\N,137,"Action,Sci-Fi"
Both,Yes,2005,tt0363771,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",ok,ok,PASS,180000000,291710957,748806957,2005PASS,214745963,348020836,893351507,2,2,6.9,327927,No,,,,,,,,,,,,,,,movie,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",0,2005,\N,143,"Adventure,Family,Fantasy"
